Santa Inês,2513356,santineense,327635,3593,10.91
Santa Luzia,2513406,santa-luziense,440766,15426,32.3
Santa Rita,2513703,santa-ritense,718576,137349,165.52
Santa Teresinha,2513802,santa-teresinhense,359442,4562,12.8
Santana de Mangueira,2513505,santanense,405164,5129,13.26
Santana dos Garrotes,2513604,santana-garrotense,361484,6986,20.54
Santo André,2513851,santoandreense,197791,2509,11.72
São Bentinho,2513927,sãobentinhense,199635,4566,21.12
São Bento,2513901,são-bentense,24584,34344,124.41
São Domingos,2513968,sãodominguense,170361,3097,16.88
São Domingos do Cariri,2513943,sãodominguense,233835,2630,11.06
São Francisco,2513984,francisquense,90724,3384,35.39
São João do Cariri,2514008,caririense,612966,4184,6.65
São João do Rio do Peixe,2500700,são-joanense,476238,18026,38.36
São João do Tigre,2514107,são-joão-tigrense,812617,4415,5.39
São José da Lagoa Tapada,2514206,são-joseense,333724,7626,22.13
São José de Caiana,2514305,caianense,183273,6376,34.08
São José de Espinharas,2514404,espinharense,726757,4656,6.56
São José de Piranhas,2514503,piranhense,686918,20329,28.19
São José de Princesa,2514552,sãojoseense,158052,3950,26.7
São José do Bonfim,2514602,bonfinense,153629,3588,24
São José do Brejo do Cruz,2514651,sãojoseense,253787,1811,6.66
São José do Sabugi,2514701,sabugiense,213555,4147,19.38
São José dos Cordeiros,2514800,são-joseense (dos Cordeiros),376661,3618,9.54
São José dos Ramos,2514453,sanjoseense,100642,5998,56.07
São Mamede,2514909,são-mamedense,533446,7702,14.6
São Miguel de Taipu,2515005,taipuense,92413,7410,72.37
São Sebastião de Lagoa de Roça,2515104,lagoense (de Roça),46372,11728,221.16
São Sebastião do Umbuzeiro,2515203,são-sebastianense,464327,3512,07.02
São Vicente do Seridó,2515401,seridoense,262751,10848,37
Sapé,2515302,sapeense,313678,52804,158.92
Serra Branca,2515500,serra-branquense,698102,13754,18.89
Serra da Raiz,2515609,serra-raizense,31679,3131,110.17
Serra Grande,2515708,serra-grandense,64352,2916,35.64
Serra Redonda,2515807,serra-redondense,55197,7021,126.11
Serraria,2515906,serrariense,65062,6068,95.53
Sertãozinho,2515930,sertãozienhense,32455,5089,134
Sobrado,2515971,sobradense,61953,7815,119.41
Solânea,2516003,solanense,233043,26227,115.01
Soledade,2516102,soledadense,578178,15102,24.53
Sossêgo,2516151,sosseguense,147264,3594,20.48
Sousa,2516201,sousense,728492,69723,89.1
Sumé,2516300,sumeense,833315,17031,19.16
Tacima,2516409,tacimense,245236,10969,41.6
Taperoá,2516508,taperoaense,628365,15441,22.53
Tavares,2516607,tavarense,239507,14759,59.42
Teixeira,2516706,teixeirense,155452,15248,87.96
Tenório,2516755,tenorense,87452,3081,26.72
Triunfo,2516805,triunfense,224336,9464,41.93
Uiraúna,2516904,uiraunense,293182,15300,49.52
Umbuzeiro,2517001,umbuzeirense,185578,9911,51.28
Várzea,2517100,varzense,191282,2841,13.15
Vieirópolis,2517209,vieiropolense,147098,5372,34.37
Vista Serrana,2505501,vista-serranense,6039,3824,57.24
Zabelê,2517407,zabeleense,106811,2255,18.97
